rating,ulasan
bintang 5,"ngecovernya bagus, bahannya ringan, cocok buat kulit kering"
bintang 5,bahannya ringan dan sangat cocok di kulit saya yang cenderung kering. saya sangat puas dengan produk ini.
bintang 5,"Produk Ori. Bahannya ringan gampang diserap cocok buat kulitku yg sensitiv..ga bikin sebum dan  jerawat, tahan lama, coverup dikulitnya bener2 rata dan bikin kulit glowin..."
bintang 5,"pengirimannya super duper flash.
a bit wondering bagian bukaan wadahnya apa memang sedikit ke kiri posisinya yaa.. jadi ga simetris di tengah2 brand cushionnya"
bintang 5,"fast respon, packaging rapih, dan selama pakai produknya skintific, khususnya skincare, oke banget."
bintang 5,"Enak banget nempel di kulit. 
Ada sedikit oksidasi di saya, tapi OK-lah.
Dan saya senang warnanya pas utk tone warna kulit saya (padahal tadinya milihnya gambling).
Perla..."
bintang 5,"Produk datang dengan baik, packing sangat baik, pengiriman cepat, tidak ada kurang satu pun. Kulit aku kuning langsat tapi cocok pake shade petal. Dan tipenya cenderung k..."
bintang 5,"Alhamdulillah produk sudah sampe dengan sesuai, harga sesuai, warna sesuai, kegunaan juga bagus kayanya enak buat daily. Warna blink silver ke beige ternyata cocok bgt ya..."
bintang 5,"kulitku berminyak undertone netral 
pake Beige terlalu gelap jadi beli lagi refill yg Ivory.
sebagus itu memang tampilan hasilnya, bagusnya dia dipake seharian makin nyat..."
bintang 5,"paket mendarat dgn selamat. packaging oke. repurches karna cushion cocok diaku, gampang ngeset dimuka, gak terlalu oksidasi. harga lebih murah dibanding sebelah. mantep l..."
bintang 5,"Wah deliverynya cepat, aman, packingnya utuh dan bagus. refillnya bagus juga. Warnanya sesuai dengan pilihan. real pic. smooth di muka dan cocok dengan kulit muka saya ya..."
bintang 5,"Great product, Best price in marketplace and Packaging Delivery was good (safe). Recommended Seller 👍👍"
bintang 5,"kualitas produk baik, ringan dipakai diwajah, tiap hari pakai untuk kerja dan aman dikulit wajah"
bintang 5,"bahannya ringan, gampang diserap, bagus, packing rapih dan aman 
good good good.......  tipe kulitku kombinasi"
bintang 4,"Pengirimm cepat dan packaging aman. dari dulu selalu pakai cushion ini dan cocok, tidak break out sama sekali."
bintang 5,"Shade 05 sand.
Untuk kulit sawo matang / tanned, aku rekomendasiin kalian pake ini.. karena bagus banget dipake di muka, halus dan muka gajadi abu2☺️🥰"
